BRANCH,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,COLLEGES
BT Bio Technology,--,--,--,58442,--,--,120382,--,--,--,--,--,--,--,--,56292,--,101171,130248,--,--,119159,--,--,E016 Siddaganga Institute of Technology Tumkur
"CA CS (AI, Machine
Learning)",16482,--,18705,11402,--,--,25555,--,33168,11990,--,--,10829,--,--,10658,--,12877,30445,--,--,38933,--,--,E016 Siddaganga Institute of Technology Tumkur
CE Civil,--,--,--,200454,--,--,184224,--,--,--,--,--,143804,--,--,105892,113122,189707,180338,--,196103,--,--,--,E016 Siddaganga Institute of Technology Tumkur
CH Chemical,--,--,139505,125752,--,--,120943,--,--,129001,--,--,163402,--,--,111504,--,--,199117,--,--,177890,--,--,E016 Siddaganga Institute of Technology Tumkur
CS Computers,7731,--,--,8986,9531,10679,12796,--,--,6911,--,--,6896,--,8294,5821,8226,6827,24932,25332,36785,19391,--,22544,E016 Siddaganga Institute of Technology Tumkur
EC Electronics,17417,--,--,18150,--,25433,20783,--,--,13540,--,14746,14016,--,--,13211,--,14693,45838,57884,59909,43209,--,53189,E016 Siddaganga Institute of Technology Tumkur
EE Electrical,25316,--,61885,41063,--,45940,46729,--,--,27600,--,--,31259,43490,--,23416,--,30111,64731,117212,146040,76007,--,--,E016 Siddaganga Institute of Technology Tumkur
"EI Elec. Inst.
Engg",43264,--,65465,43315,--,--,64948,--,--,39366,--,--,39338,--,--,32346,70071,41736,156781,--,--,167817,--,--,E016 Siddaganga Institute of Technology Tumkur
"ET Elec.
Telecommn. Engg.",37666,--,--,32506,--,34754,27810,--,--,24076,--,34135,27342,--,--,23715,85793,29236,115943,--,126875,85739,--,--,E016 Siddaganga Institute of Technology Tumkur
IE Info.Science,13737,--,--,10977,--,11913,15324,--,--,9295,--,--,9149,--,11464,8952,10632,10666,32798,--,40399,36457,--,45470,E016 Siddaganga Institute of Technology Tumkur
"IM Ind. Engg.
Mgmt.",156599,--,--,133719,--,--,120582,--,--,112795,--,--,96688,--,--,94595,95067,143566,198325,--,--,127333,--,--,E016 Siddaganga Institute of Technology Tumkur
ME Mechanical,164784,--,--,168403,196640,191780,109435,--,--,154159,--,--,164592,--,173842,105077,184256,126374,194684,--,--,170383,--,--,E016 Siddaganga Institute of Technology Tumkur
"AI Artificial
Intelligence",--,--,57781,49050,--,--,45626,--,--,--,--,--,38658,--,--,36010,46924,--,108399,--,119081,67112,--,--,E017 Sri Siddartha Institute of Technology Tumkur
BM Bio Medical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,192830,--,--,--,--,--,--,--,--,E017 Sri Siddartha Institute of Technology Tumkur
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,190665,--,--,--,--,--,--,--,--,E017 Sri Siddartha Institute of Technology Tumkur
CS Computers,37838,--,--,36415,64013,40067,30670,--,--,29600,--,36193,34131,--,--,28545,32692,35058,64502,--,75359,60180,--,63665,E017 Sri Siddartha Institute of Technology Tumkur
"CY CS- Cyber
Security",70676,--,--,58147,--,--,74187,--,--,65470,102108,--,60677,--,--,57457,--,92545,151597,--,--,106640,--,--,E017 Sri Siddartha Institute of Technology Tumkur
"DS Comp. Sc. Engg-
Data Sc.",150235,--,--,58955,--,68063,--,--,--,--,--,--,57346,--,--,49162,65905,50043,103622,--,201842,105007,--,--,E017 Sri Siddartha Institute of Technology Tumkur
EC Electronics,64058,--,--,60742,--,69611,55973,--,--,52297,--,--,50882,--,--,49753,--,57704,116111,118083,142219,120059,--,--,E017 Sri Siddartha Institute of Technology Tumkur
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,201807,--,--,--,--,--,--,--,--,E017 Sri Siddartha Institute of Technology Tumkur
"ET Elec.
Telecommn. Engg.",121037,--,--,96187,--,--,114793,--,--,91342,--,--,125118,--,--,84393,--,85252,175245,--,--,163397,--,--,E017 Sri Siddartha Institute of Technology Tumkur
IE Info.Science,52817,--,--,54470,113239,65026,50948,--,--,44771,--,--,38876,--,60198,36695,45463,45780,74804,--,97604,112890,--,161011,E017 Sri Siddartha Institute of Technology Tumkur
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202693,--,--,--,--,--,--,--,--,E017 Sri Siddartha Institute of Technology Tumkur
"AI Artificial
Intelligence",100209,--,--,109456,188663,--,153536,--,--,--,--,--,--,--,--,99053,138188,121783,127632,--,154188,--,--,--,E018 Kalpatharu Institute of Technology Tiptur
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,183359,--,--,--,--,--,--,--,--,E018 Kalpatharu Institute of Technology Tiptur
CS Computers,70617,--,--,80958,--,98952,65638,--,92942,76962,--,--,62052,--,80378,58372,74713,68207,114727,--,171366,143895,--,198675,E018 Kalpatharu Institute of Technology Tiptur
EC Electronics,--,--,--,147403,--,--,--,--,--,129283,--,--,124634,--,--,110131,--,127141,179413,--,--,201942,--,--,E018 Kalpatharu Institute of Technology Tiptur
IE Info.Science,132142,--,--,99411,--,108009,71033,--,--,91954,--,--,69429,120220,--,69239,--,87025,112423,--,--,145443,--,--,E018 Kalpatharu Institute of Technology Tiptur
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,203066,--,--,--,--,--,--,--,--,E018 Kalpatharu Institute of Technology Tiptur
CE Civil,--,--,--,70047,--,74235,101679,--,106598,60254,--,84087,77803,110746,--,57141,89192,66895,116549,--,158175,133360,--,202525,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
CS Computers,6018,--,--,4541,--,5627,7950,13896,--,2239,--,--,2862,--,4637,2077,2863,3783,10528,--,16273,5174,--,8354,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
EC Electronics,11028,--,--,10204,--,11078,15242,--,--,8896,16374,--,7717,--,--,6351,11701,8619,28319,--,37113,18315,--,25684,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
EE Electrical,21902,61288,--,27484,--,37016,21174,--,--,20538,--,--,20616,--,25623,19041,31225,21063,54014,--,54305,34129,--,53163,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
"EI Elec. Inst.
Engg",49943,--,66363,35481,--,46698,41609,--,--,23827,--,--,27503,--,--,23767,34375,28872,114625,169125,173221,82261,--,--,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
EN Environmental,156073,--,--,152501,--,--,103986,--,--,115487,--,140884,178585,--,--,101579,119199,131414,147682,--,179717,148317,--,--,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
IP Ind.Prodn.,121308,--,--,135927,--,--,140199,--,--,107939,--,--,107803,--,--,97819,108430,125759,168356,--,--,153040,--,--,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
ME Mechanical,94200,--,120292,62779,84423,78936,71622,--,95223,56359,--,--,52097,--,--,50325,83556,68144,103033,--,168067,88034,--,--,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
PT Polymer Tech.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,191263,--,--,--,--,--,--,--,--,E021 Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
CE Civil,118143,--,151579,128654,197082,182878,144588,--,--,114262,--,118604,148395,--,--,90589,95068,108098,125526,197523,191844,153545,186797,--,E022 The National Institute of Engineering(SOUTH CAMPUS) Mysore
EC Electronics,18620,--,--,13134,18091,13818,16244,--,--,10716,--,--,10179,--,17274,9732,16557,13512,36525,--,45242,25598,--,57649,E022 The National Institute of Engineering(SOUTH CAMPUS) Mysore
ME Mechanical,60447,--,--,71307,--,84970,63357,--,--,57077,--,--,53016,--,--,49303,84394,57795,122668,--,176133,129990,--,--,E022 The National Institute of Engineering(SOUTH CAMPUS) Mysore
AU Automobile,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E023 P E S College of Engineering Mandya
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202225,--,--,--,--,--,--,--,--,E023 P E S College of Engineering Mandya
EC Electronics,30522,--,--,29620,--,31823,26868,--,72858,24613,--,--,24900,--,--,24132,29618,26173,60338,79166,94453,55355,--,104709,E023 P E S College of Engineering Mandya
EE Electrical,54768,--,125648,76124,--,98567,46941,--,--,48517,--,--,47211,--,--,43635,--,46512,90322,--,97876,125698,--,--,E023 P E S College of Engineering Mandya
IP Ind.Prodn.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E023 P E S College of Engineering Mandya
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202993,--,--,--,--,--,--,--,--,E023 P E S College of Engineering Mandya
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,191323,--,--,--,--,--,--,--,--,E024 Malnad College of Engineering Hassan
EC Electronics,38732,--,--,29841,--,41002,49538,--,--,28429,--,--,28886,42048,--,26418,29125,34730,83255,--,92258,82499,--,118910,E024 Malnad College of Engineering Hassan
EE Electrical,80758,--,--,76067,--,77291,91250,--,--,--,--,--,68006,--,89538,53298,56436,69700,118909,--,--,145393,--,152396,E024 Malnad College of Engineering Hassan
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202495,--,--,--,--,--,--,--,--,E024 Malnad College of Engineering Hassan
"CD Computer Sc.
and Design",130278,--,--,135642,--,--,166603,--,--,--,--,--,--,--,--,99215,105106,163174,193960,--,--,201765,--,--,E028 Tontadarya College of Engineering Gadag
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,179135,--,--,--,--,--,--,--,--,E028 Tontadarya College of Engineering Gadag
CS Computers,58554,--,--,75964,--,85461,67129,--,--,76780,--,--,65015,--,70306,55223,68710,--,101729,--,--,117520,--,133878,E028 Tontadarya College of Engineering Gadag
"EA Agriculture
Engineering",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,161368,188302,--,164229,--,--,--,--,--,E028 Tontadarya College of Engineering Gadag
EC Electronics,140133,--,--,97785,104942,133450,--,78088,--,122567,--,--,77042,--,--,74239,--,75281,138928,--,156828,--,--,--,E028 Tontadarya College of Engineering Gadag
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186387,--,--,--,--,--,--,--,--,E028 Tontadarya College of Engineering Gadag
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E028 Tontadarya College of Engineering Gadag
CS Computers,98243,--,--,102098,--,--,98497,--,139136,--,--,--,91204,--,--,89234,--,91111,134164,134649,152638,158988,--,--,E029 Maratha Mandal Engineering College Belgaum
EC Electronics,--,--,--,157817,--,--,142633,--,--,173295,--,--,157378,--,--,142111,--,144641,167613,--,--,195468,--,--,E029 Maratha Mandal Engineering College Belgaum
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E029 Maratha Mandal Engineering College Belgaum
RI Robotics and AI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,201088,--,--,--,--,--,--,--,--,E029 Maratha Mandal Engineering College Belgaum
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202768,--,--,--,--,--,--,--,--,E031 Basaveshwara Engineering College Bagalkot
CS Computers,24852,--,--,18918,--,23756,26035,--,--,17619,--,21733,17577,18027,--,16243,16436,17530,40925,42843,45902,40849,--,57717,E031 Basaveshwara Engineering College Bagalkot
EC Electronics,33951,--,52072,28989,--,32882,31181,49902,41859,30289,--,--,26005,--,--,24913,25297,26820,70474,--,86866,106058,--,--,E031 Basaveshwara Engineering College Bagalkot
EE Electrical,76748,127537,--,60239,--,--,55468,--,--,58660,--,--,55963,--,--,51122,52350,55876,150902,--,--,144035,--,153967,E031 Basaveshwara Engineering College Bagalkot
IP Ind.Prodn.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,192680,--,--,--,--,--,--,--,--,E031 Basaveshwara Engineering College Bagalkot
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,203368,--,--,--,--,--,--,--,--,E031 Basaveshwara Engineering College Bagalkot
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E032 R.T.E Socity`s Rural Engineering College Hulkoti
CS Computers,96433,--,--,98972,--,--,81819,--,--,101349,--,--,--,--,--,81808,85877,92774,127205,--,152270,121631,--,178667,E032 R.T.E Socity`s Rural Engineering College Hulkoti
EC Electronics,193787,--,--,153248,--,--,143640,--,--,117933,--,--,--,--,--,110071,--,165258,196367,--,--,--,--,--,E032 R.T.E Socity`s Rural Engineering College Hulkoti
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E032 R.T.E Socity`s Rural Engineering College Hulkoti
TX Textiles,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E032 R.T.E Socity`s Rural Engineering College Hulkoti
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,159089,--,--,--,--,--,--,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
CS Computers,--,--,--,104431,--,--,--,--,--,--,--,--,89450,--,108440,86110,--,--,122938,--,--,157210,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
EC Electronics,--,--,--,157417,--,193051,--,--,--,--,--,--,--,--,--,139281,--,162422,164472,--,--,--,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182287,--,--,--,--,--,--,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
IE Info.Science,145123,--,--,146365,--,--,137566,--,--,--,137840,--,--,--,--,107682,134970,128547,153374,--,--,199197,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,E033 Sri Taralabalu Jagadguru Institute of Technology. Ranebennur
"AI Artificial
Intelligence",24319,--,37061,16107,--,--,17134,--,--,20686,--,25732,15671,--,--,15056,18780,15577,50697,--,--,50202,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,198623,--,--,--,--,--,--,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
CH Chemical,--,--,--,124066,--,--,--,--,--,173118,--,--,--,--,--,123589,--,--,127020,--,--,158002,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
CS Computers,13322,--,--,14166,--,15701,--,--,--,13294,--,--,13568,--,--,12241,16913,14379,37632,42724,45185,29011,--,67369,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
EC Electronics,26625,--,--,18901,--,24207,24954,--,--,18468,--,--,18857,--,23443,17568,19346,19982,45804,86304,74312,60755,--,133384,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
EE Electrical,70947,--,--,35816,58829,--,51277,--,183623,--,--,--,40633,--,--,33004,--,--,97882,--,200788,99853,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
IE Info.Science,--,--,--,15588,--,16464,19495,--,--,17292,--,--,14527,--,--,14026,19342,14261,46115,--,93091,51677,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
ME Mechanical,--,--,--,190927,--,--,144962,--,--,168845,--,--,152450,--,--,141570,178314,181602,184846,--,--,164700,--,--,E034 Sri Dharmasthala Manjunatheswara College of Engineering Dharwad
"CA CS (AI, Machine
Learning)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200803,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
CS Computers,--,--,--,160434,--,--,--,--,--,139665,--,--,--,--,--,128972,--,165674,187511,--,--,154572,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
"DS Comp. Sc. Engg-
Data Sc.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,155249,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202126,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,176078,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"E035 Anjuman Engineering College Bhatkala, Uttar kannada Dist"
BM Bio Medical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,188277,--,--,--,--,--,--,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,187389,--,--,--,--,--,--,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
"CF CS(Artificial
Intel.)",36988,--,--,29488,--,44479,--,--,--,35493,--,--,22954,--,--,19844,25677,24969,99343,--,--,69378,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
CH Chemical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,192333,--,--,--,--,--,--,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
CS Computers,18094,--,--,21374,22558,24870,24323,--,--,22510,--,--,19990,--,21944,17632,18239,20503,52588,58405,72081,59581,--,64640,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
EC Electronics,28791,--,--,27953,--,30969,28991,--,--,27976,--,--,24069,--,--,23766,23853,25565,86846,90783,97186,121504,--,150538,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
EE Electrical,85852,--,--,63724,--,73770,--,--,--,95734,--,--,52402,--,61225,51169,54504,59086,174078,--,--,163888,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
ME Mechanical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202659,--,--,--,--,--,--,--,--,E036 KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum
AE Aeronaut.Engg,--,--,--,97301,--,--,--,--,--,145847,--,--,87192,--,--,79851,--,103804,170298,--,--,103975,--,--,E037 K.L.S. Gogte Institute of Technology Belgaum
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,199223,--,--,--,--,--,--,--,--,E037 K.L.S. Gogte Institute of Technology Belgaum
CS Computers,16170,--,--,12919,13643,13982,20323,--,--,13528,--,--,11186,--,14306,10633,12667,13314,37794,39755,50139,31101,--,59394,E037 K.L.S. Gogte Institute of Technology Belgaum
EC Electronics,23496,--,--,20221,21747,23947,23171,--,36014,19687,--,--,19730,--,--,18625,19889,21669,62416,65398,74985,82616,--,112345,E037 K.L.S. Gogte Institute of Technology Belgaum
EE Electrical,53768,73792,80293,48777,--,--,67786,--,78841,56591,--,--,37369,--,43081,34350,38226,39373,146262,--,--,175108,--,--,E037 K.L.S. Gogte Institute of Technology Belgaum
IE Info.Science,25250,--,--,18060,--,21033,21253,--,--,17625,--,24433,16546,--,19979,15910,16654,19530,63124,82208,97771,65241,74622,--,E037 K.L.S. Gogte Institute of Technology Belgaum
ME Mechanical,--,--,--,--,--,--,181384,--,--,--,--,--,181242,--,--,178710,193109,185211,187882,--,--,--,--,--,E037 K.L.S. Gogte Institute of Technology Belgaum
"CA CS (AI, Machine
Learning)",65179,--,--,50065,--,85357,64197,--,--,--,--,--,48350,--,--,43100,--,69671,68973,--,--,116785,--,--,E038 B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur
CE Civil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202941,--,--,--,--,--,--,--,--,E038 B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur
